Time(s),Voltage I/O-1(V)
0.79,-0.082
0.792,-0.056
0.794,-0.046
0.796,-0.048
0.798,-0.039
0.8,-0.021
0.802,-0.023
0.804,-0.013
0.806,0.002
0.808,0.01
0.81,0.006
0.812,0.005
0.814,0.007
0.816,0.01
0.818,0.02
0.82,0.028
0.822,0.033
0.824,0.032
0.826,0.032
0.828,0.035
0.83,0.04
0.832,0.048
0.834,0.042
0.836,0.039
0.838,0.043
0.84,0.045
0.842,0.055
0.844,0.059
0.846,0.066
0.848,0.068
0.85,0.067
0.852,0.076
0.854,0.079
0.856,0.084
0.858,0.093
0.86,0.095
0.862,0.1
0.864,0.105
0.866,0.11
0.868,0.112
0.87,0.117
0.872,0.12
0.874,0.12
0.876,0.116
0.878,0.085
0.88,-0.039
0.882,-0.035
0.884,-0.027
0.886,-0.02
0.888,-0.02
0.89,-0.02
0.892,-0.018
0.894,-0.018
0.896,-0.018
0.898,-0.015
0.9,-0.012
0.902,-0.012
0.904,-0.007
0.906,-0.006
0.908,-0.007
0.91,-0.007
0.912,-0.005
0.914,-0.005
0.916,-0.006
0.918,-0.004
0.92,-0.002
0.922,0
0.924,0
0.926,0
0.928,0.002
0.93,0.002
0.932,0.004
0.934,0.002
0.936,0.005
0.938,0
0.94,-0.001
0.942,0
0.944,0
0.946,0
0.948,0.001
0.95,0.002
0.952,0.002
0.954,0.002
0.956,0
0.958,0
0.96,0
0.962,0
0.964,0.001
0.966,0
0.968,0.002
0.97,0
0.972,0
0.974,0
0.976,0
0.978,0.002
0.98,0.001
0.982,-0.001
0.984,0.001
0.986,-0.001
0.988,0
0.99,0
0.992,0.001
0.994,0.001
0.996,0.002
0.998,0.002
1,0.001
1.002,0
1.004,0
1.006,0
1.008,0
1.01,0.001
1.012,0
1.014,0.001
1.016,0.001
1.018,0
1.02,0.001
1.022,0.001
1.024,0
1.026,0.002
1.028,0
1.03,0
1.032,0.001
1.034,0
1.036,0.001
1.038,-0.001
1.04,0.001
1.042,0.002
1.044,0.002
1.046,0
1.048,0
1.05,-0.001
1.052,0
1.054,0
1.056,0
1.058,0
1.06,0.001
1.062,0.002
1.064,0.002
1.066,0.001
1.068,0.001
1.07,-0.001
1.072,-0.001
1.074,0
1.076,0
1.078,0.001
1.08,0.002
1.082,0.001
1.084,0.002
1.086,0
1.088,0
1.09,0
1.092,0
1.094,0.002
1.096,0
1.098,0
1.1,0.001
1.102,0
1.104,0.002
1.106,0.002
1.108,0
1.11,0.001
1.112,0.002
1.114,-0.001
1.116,0
1.118,-0.002
1.12,0.001
1.122,0.001
1.124,0.001
1.126,0.002
1.128,0
1.13,0.001
1.132,0.001
1.134,-0.001
1.136,0
1.138,0
1.14,0.001
1.142,0.002
1.144,0.001
1.146,0
1.148,0
1.15,0
1.152,0.002
1.154,0.001
1.156,0
1.158,0
1.16,0
1.162,0
1.164,0.001
1.166,0
1.168,0.001
1.17,0
1.172,0.002
1.174,0.001
1.176,0
1.178,0
1.18,0.001
1.182,0
1.184,0.001
1.186,0
1.188,0
1.19,0.004
1.192,0
1.194,0.001
1.196,0
1.198,0
1.2,0
1.202,0.002
1.204,0.001
1.206,0.001
1.208,0
1.21,0.002
1.212,0
1.214,-0.001
1.216,0.002
1.218,0
1.22,0.002
1.222,0.001
1.224,-0.001
1.226,0
1.228,0
1.23,0
1.232,0.002
1.234,0.001
1.236,0.001
1.238,0.002
1.24,0
1.242,0
1.244,-0.001
1.246,0.002
1.248,0.002
1.25,0.002
1.252,0.001
1.254,0.002
1.256,0
1.258,0.001
1.26,-0.001
1.262,0
1.264,0
1.266,0
1.268,0.001
1.27,0.001
1.272,0
1.274,0.001
1.276,0
1.278,0.002
1.28,0.001
1.282,0
1.284,0.001
1.286,0
1.288,0
1.29,0.002
1.292,0.001
1.294,0
1.296,0.001
1.298,0.001
1.3,0
1.302,0.001
1.304,-0.001
1.306,0.001
1.308,-0.001
1.31,0.001
1.312,0.001
1.314,0
1.316,0
1.318,-0.001
1.32,0
1.322,0.001
1.324,0
