Time(s),Voltage I/O-1(V)
0,0.001
0.002,0.002
0.004,0.002
0.006,0.002
0.008,0
0.01,0.001
0.012,0.001
0.014,-0.001
0.016,-0.001
0.018,-0.002
0.02,-0.001
0.022,0.001
0.024,0.001
0.026,0.001
0.028,0
0.03,0
0.032,0.001
0.034,0
0.036,0
0.038,0
0.04,0.001
0.042,0.001
0.044,0.001
0.046,0
0.048,0.001
0.05,0
0.052,0
0.054,0
0.056,0
0.058,-0.001
0.06,0.001
0.062,0
0.064,0.002
0.066,0.001
0.068,0
0.07,0.001
0.072,0
0.074,0.001
0.076,0
0.078,-0.001
0.08,0.001
0.082,0.001
0.084,0
0.086,0.002
0.088,0.002
0.09,0.002
0.092,0.001
0.094,0
0.096,0.001
0.098,-0.002
0.1,0
0.102,0.001
0.104,0.002
0.106,0.002
0.108,0
0.11,0.001
0.112,0.002
0.114,0.001
0.116,0
0.118,0
0.12,0
0.122,0.001
0.124,0.001
0.126,0.001
0.128,0.001
0.13,0
0.132,0.001
0.134,0
0.136,0
0.138,0.001
0.14,0
0.142,0
0.144,0.001
0.146,0
0.148,0
0.15,0
0.152,0
0.154,0.002
0.156,0
0.158,0
0.16,0
0.162,0
0.164,0.001
0.166,0.001
0.168,0.001
0.17,0.002
0.172,0
0.174,0
0.176,0.001
0.178,-0.001
0.18,-0.001
0.182,0
0.184,0
0.186,0
0.188,-0.001
0.19,0
0.192,0
0.194,0.004
0.196,0.002
0.198,0.001
0.2,0
0.202,0.001
0.204,-0.002
0.206,0
0.208,-0.001
0.21,0
0.212,0.002
0.214,0.002
0.216,0.001
0.218,0.002
0.22,-0.001
0.222,0.002
0.224,-0.002
0.226,-0.001
0.228,0
0.23,0
0.232,0.001
0.234,0
0.236,-0.001
0.238,0.001
0.24,0
0.242,0
0.244,0.002
0.246,-0.001
0.248,0
0.25,0.001
0.252,0
0.254,0.001
0.256,-0.001
0.258,0.002
0.26,0.001
0.262,0.001
0.264,0.002
0.266,0
0.268,-0.001
0.27,0.001
0.272,-0.001
0.274,0
0.276,-0.001
0.278,0.001
0.28,0.001
0.282,0.002
0.284,0
0.286,0.001
0.288,0
0.29,0
0.292,-0.001
0.294,0.002
0.296,0
0.298,0
0.3,0.001
0.302,0.002
0.304,0
0.306,0.001
0.308,0.002
0.31,0.001
0.312,0.001
0.314,-0.001
0.316,-0.001
0.318,0
0.32,0
0.322,0.002
0.324,0.002
0.326,0
0.328,0.004
0.33,0.001
0.332,0.001
0.334,0
0.336,-0.002
0.338,0.001
0.34,0
0.342,0.002
0.344,0
0.346,0
0.348,0.004
0.35,0.001
0.352,-0.001
0.354,0.001
0.356,0
0.358,0.002
0.36,0.002
0.362,0.001
0.364,0
0.366,0
0.368,-0.001
0.37,0.001
0.372,0
0.374,0
0.376,-0.001
0.378,-0.001
0.38,-0.001
0.382,0.002
0.384,0.002
0.386,0.002
0.388,0
0.39,0.001
0.392,0.001
0.394,0
0.396,0.001
0.398,0
0.4,0
0.402,0
0.404,0
0.406,0.001
0.408,0
0.41,0
0.412,0
0.414,0
0.416,-0.001
0.418,0.001
0.42,0.001
0.422,0.001
0.424,0
0.426,0
0.428,0
0.43,0
0.432,0
0.434,0
0.436,-0.001
0.438,0
0.44,0
0.442,-0.002
0.444,-0.001
0.446,0.001
0.448,0.002
0.45,0.002
0.452,0.001
0.454,0.002
0.456,0
0.458,0
0.46,0.001
0.462,-0.001
0.464,-0.001
0.466,0
0.468,0.001
0.47,0
0.472,0.002
0.474,0.002
0.476,0.002
0.478,0
0.48,0.002
0.482,-0.004
0.484,0
0.486,0.001
0.488,0
0.49,0.001
0.492,0.005
0.494,-0.001
0.496,0.002
0.498,0
0.5,0
0.502,0
0.504,-0.001
0.506,0.001
0.508,0.001
0.51,0
0.512,0.005
0.514,0
0.516,0.002
0.518,0.002
0.52,0
0.522,0
0.524,0
0.526,0
0.528,0.001
0.53,0
0.532,0.001
0.534,0.002
0.536,0.002
0.538,0.001
0.54,0
0.542,-0.001
0.544,0.001
0.546,-0.001
0.548,0.002
0.55,0.002
0.552,0
0.554,0.002
0.556,0.001
0.558,0
0.56,0.001
0.562,0
0.564,0.002
0.566,0.001
0.568,0.001
0.57,0
0.572,0.001
0.574,0
0.576,0.001
0.578,0
0.58,0.002
0.582,0
0.584,0
0.586,0
0.588,0
0.59,0.001
0.592,0
0.594,0
0.596,0.002
0.598,0.001
0.6,0.001
0.602,0.002
0.604,0
0.606,0
0.608,0.001
0.61,0
0.612,0.001
0.614,0
0.616,0.001
0.618,0.002
0.62,0.001
0.622,0.001
0.624,0
0.626,0
0.628,0.001
0.63,-0.002
0.632,0
0.634,0.001
0.636,0
0.638,0.002
0.64,0.001
0.642,0.002
0.644,0
0.646,0
0.648,0
0.65,0
0.652,-0.002
0.654,0.001
0.656,0
0.658,0.001
0.66,0.002
0.662,0
0.664,0.002
0.666,0.001
0.668,0
0.67,0.001
0.672,0
0.674,0
0.676,0.002
0.678,0
0.68,0.002
0.682,0.001
0.684,0
0.686,0.001
0.688,0
0.69,0
0.692,0
0.694,-0.002
0.696,0
0.698,-0.001
0.7,0
0.702,0.002
0.704,0
0.706,0.001
0.708,0.001
0.71,0.001
0.712,0.002
0.714,0
0.716,0
0.718,0.001
0.72,0.001
0.722,0.002
0.724,0.001
0.726,0.002
0.728,0
0.73,-0.001
0.732,0
0.734,0.001
0.736,-0.001
0.738,0.002
0.74,-0.001
0.742,0.001
0.744,0.002
0.746,0
0.748,0
0.75,0
0.752,-0.001
0.754,0.001
0.756,0.001
0.758,0
0.76,0
0.762,0
0.764,0.002
0.766,0.001
0.768,0.001
0.77,0.002
0.772,-0.002
0.774,0
0.776,0
0.778,-0.001
0.78,0
0.782,-0.001
0.784,0
0.786,0.001
0.788,0
0.79,0
0.792,0
0.794,-0.001
0.796,0
0.798,0
0.8,-0.002
0.802,0
0.804,-0.001
0.806,0.001
0.808,0
0.81,-0.001
0.812,0.001
0.814,0
0.816,-0.001
0.818,0
0.82,-0.001
0.822,-0.002
0.824,-0.002
0.826,-0.001
0.828,-0.001
0.83,-0.002
0.832,-0.001
0.834,0
0.836,-0.002
0.838,-0.001
