Time(s),Voltage I/O-1(V)
0,0
0.002,0.001
0.004,0
0.006,0
0.008,0.001
0.01,-0.001
0.012,0.004
0.014,0
0.016,0
0.018,0.001
0.02,0
0.022,0.001
0.024,0.001
0.026,0
0.028,0
0.03,0
0.032,0.002
0.034,0.001
0.036,0.001
0.038,0.004
0.04,0
0.042,0
0.044,0
0.046,-0.002
0.048,0
0.05,0.001
0.052,0.002
0.054,0.002
0.056,0.004
0.058,0.002
0.06,0.002
0.062,0
0.064,0.001
0.066,-0.001
0.068,0
0.07,0
0.072,0
0.074,0.001
0.076,0.004
0.078,0
0.08,0.002
0.082,0.002
0.084,0.001
0.086,0
0.088,0
0.09,0
0.092,0.001
0.094,0
0.096,0.002
0.098,0.001
0.1,0.002
0.102,0.001
0.104,0.001
0.106,0.001
0.108,0
0.11,-0.001
0.112,0
0.114,0
0.116,0
0.118,0.002
0.12,0
0.122,0.001
0.124,0.001
0.126,0.001
0.128,0.001
0.13,-0.001
0.132,0.002
0.134,0.001
0.136,0
0.138,0.001
0.14,0
0.142,0
0.144,0.002
0.146,0
0.148,0.001
0.15,0.002
0.152,-0.001
0.154,0
0.156,0.001
0.158,0
0.16,0.001
0.162,0.001
0.164,0.002
0.166,0
0.168,0
0.17,0.001
0.172,0
0.174,0
0.176,0.001
0.178,0.001
0.18,0.002
0.182,0.001
0.184,0.001
0.186,0
0.188,0.001
0.19,0
0.192,0
0.194,-0.002
0.196,0
0.198,0
0.2,0
0.202,0.001
0.204,0.001
0.206,0.001
0.208,0
0.21,0
0.212,0.001
0.214,0
0.216,0
0.218,0.002
0.22,-0.001
0.222,0.001
0.224,0.002
0.226,0.001
0.228,0.002
0.23,0
0.232,0
0.234,0
0.236,-0.001
0.238,0
0.24,0
0.242,0
0.244,0.001
0.246,0.001
0.248,0.001
0.25,0.001
0.252,-0.001
0.254,-0.001
0.256,0
0.258,0
0.26,0.001
0.262,0
0.264,0
0.266,-0.001
0.268,-0.002
0.27,0.001
0.272,0
0.274,0
0.276,0
0.278,-0.004
0.28,0
0.282,-0.001
0.284,-0.002
0.286,0
0.288,-0.001
0.29,0.001
0.292,0
0.294,-0.001
0.296,0
0.298,-0.002
0.3,-0.001
0.302,0
0.304,-0.002
0.306,-0.002
0.308,-0.001
0.31,0
0.312,-0.001
0.314,-0.004
0.316,-0.002
0.318,-0.001
0.32,-0.002
0.322,-0.001
0.324,-0.002
0.326,-0.004
0.328,-0.002
0.33,-0.002
0.332,-0.002
0.334,-0.002
0.336,-0.004
0.338,-0.002
0.34,-0.004
0.342,-0.004
0.344,-0.005
0.346,-0.004
0.348,-0.005
0.35,-0.005
0.352,-0.005
0.354,-0.002
0.356,-0.006
0.358,-0.006
0.36,-0.005
0.362,-0.007
0.364,-0.007
0.366,-0.007
0.368,-0.009
0.37,-0.007
0.372,-0.007
0.374,-0.009
0.376,-0.009
0.378,-0.011
0.38,-0.012
0.382,-0.013
0.384,-0.015
0.386,-0.015
0.388,-0.016
0.39,-0.017
0.392,-0.018
0.394,-0.02
0.396,-0.021
0.398,-0.022
0.4,-0.026
0.402,-0.027
0.404,-0.032
0.406,-0.034
0.408,-0.038
0.41,-0.042
0.412,-0.044
0.414,-0.049
0.416,-0.054
0.418,-0.061
0.42,-0.07
0.422,-0.076
0.424,-0.087
0.426,-0.098
0.428,-0.11
0.43,-0.123
0.432,-0.14
0.434,-0.159
0.436,-0.182
0.438,-0.205
0.44,-0.233
0.442,-0.264
0.444,-0.303
0.446,-0.342
0.448,-0.383
0.45,-0.427
0.452,-0.471
0.454,-0.508
0.456,-0.54
0.458,-0.559
0.46,-0.561
0.462,-0.55
0.464,-0.524
0.466,-0.486
0.468,-0.437
0.47,-0.378
0.472,-0.316
0.474,-0.256
0.476,-0.19
0.478,-0.132
0.48,-0.072
0.482,-0.021
0.484,0.024
0.486,0.063
0.488,0.09
0.49,0.104
0.492,0.101
0.494,0.078
0.496,0.04
0.498,-0.009
0.5,-0.06
0.502,-0.103
0.504,-0.131
0.506,-0.139
0.508,-0.135
0.51,-0.121
0.512,-0.096
0.514,-0.07
0.516,-0.043
0.518,-0.009
0.52,0.022
0.522,0.051
0.524,0.078
0.526,0.098
0.528,0.105
0.53,0.093
0.532,0.057
0.534,0.01
0.536,-0.049
0.538,-0.093
0.54,-0.121
0.542,-0.126
0.544,-0.11
0.546,-0.079
0.548,-0.039
0.55,0.011
0.552,0.062
0.554,0.116
0.556,0.167
0.558,0.215
0.56,0.251
0.562,0.266
0.564,0.25
0.566,0.194
0.568,0.094
0.57,-0.032
0.572,-0.151
0.574,-0.24
0.576,-0.283
0.578,-0.283
0.58,-0.25
0.582,-0.2
0.584,-0.142
0.586,-0.073
0.588,-0.009
0.59,0.054
0.592,0.111
0.594,0.151
0.596,0.17
0.598,0.145
0.6,0.076
0.602,-0.022
0.604,-0.099
0.606,-0.126
0.608,-0.096
0.61,-0.031
0.612,0.062
0.614,0.166
0.616,0.283
0.618,0.408
0.62,0.54
0.622,0.682
0.624,0.828
0.626,0.945
0.628,-0.43
0.63,-0.349
0.632,-0.221
0.634,-0.259
0.636,-0.168
0.638,-0.115
0.64,-0.132
0.642,-0.066
0.644,-0.09
