Time(s),Voltage I/O-1(V)
0,0.001
0.002,-0.001
0.004,0
0.006,0.001
0.008,0.002
0.01,0.001
0.012,0.004
0.014,0.001
0.016,0.002
0.018,-0.001
0.02,0
0.022,0
0.024,0
0.026,0.001
0.028,0
0.03,0.001
0.032,0.002
0.034,0.001
0.036,0.004
0.038,0
0.04,0.001
0.042,0.002
0.044,-0.001
0.046,0
0.048,0
0.05,-0.004
0.052,0
0.054,0.001
0.056,0.004
0.058,0.001
0.06,-0.001
0.062,0.002
0.064,0
0.066,-0.001
0.068,0.001
0.07,-0.002
0.072,0
0.074,0.002
0.076,0.002
0.078,0.001
0.08,0
0.082,0
0.084,0.001
0.086,-0.001
0.088,0
0.09,-0.002
0.092,0.002
0.094,0.001
0.096,0.001
0.098,0.001
0.1,0
0.102,-0.001
0.104,0.001
0.106,0
0.108,0.002
0.11,-0.001
0.112,-0.001
0.114,0.001
0.116,0.002
0.118,0.001
0.12,-0.001
0.122,0
0.124,0.002
0.126,0.001
0.128,-0.002
0.13,0
0.132,0.001
0.134,0
0.136,0.004
0.138,0.001
0.14,0
0.142,0.002
0.144,0
0.146,0
0.148,0
0.15,-0.002
0.152,0.001
0.154,0.001
0.156,0.002
0.158,0.001
0.16,-0.001
0.162,-0.001
0.164,0
0.166,-0.001
0.168,0.001
0.17,0.002
0.172,0.001
0.174,0.002
0.176,0
0.178,0
0.18,-0.002
0.182,0.001
0.184,0.002
0.186,0.001
0.188,0.002
0.19,0.001
0.192,0
0.194,0
0.196,0
0.198,0
0.2,0.001
0.202,0
0.204,0.002
0.206,0.002
0.208,0
0.21,0.001
0.212,0
0.214,0
0.216,0
0.218,0.002
0.22,0.001
0.222,0.001
0.224,0
0.226,0.002
0.228,0
0.23,0.002
0.232,0.001
0.234,0
0.236,-0.002
0.238,-0.002
0.24,0
0.242,0.001
0.244,0
0.246,0.002
0.248,0
0.25,0.002
0.252,0
0.254,0
0.256,0.001
0.258,-0.001
0.26,-0.002
0.262,0.001
0.264,0
0.266,0.002
0.268,0.001
0.27,0
0.272,0.002
0.274,0.002
0.276,0
0.278,-0.001
0.28,0
0.282,0
0.284,0.001
0.286,0.001
0.288,-0.001
0.29,0
0.292,0.002
0.294,0.005
0.296,0
0.298,0
0.3,0.001
0.302,0.002
0.304,0
0.306,0
0.308,-0.004
0.31,0.001
0.312,0.002
0.314,0.005
0.316,0.002
0.318,-0.001
0.32,0.001
0.322,-0.001
0.324,-0.002
0.326,0.001
0.328,-0.001
0.33,0
0.332,0.002
0.334,0.002
0.336,0.001
0.338,0
0.34,0
0.342,0.004
0.344,0
0.346,0.001
0.348,0
0.35,0
0.352,0.002
0.354,0.001
0.356,0.001
0.358,0.004
0.36,0
0.362,0.001
0.364,0.001
0.366,-0.001
0.368,0
0.37,-0.002
0.372,0.002
0.374,0
0.376,0
0.378,0.002
0.38,0.001
0.382,0
0.384,0
0.386,-0.001
0.388,-0.001
0.39,0.001
0.392,0
0.394,0.004
0.396,0.001
0.398,-0.001
0.4,-0.001
0.402,0.001
0.404,0
0.406,0.001
0.408,0
0.41,0.001
0.412,0
0.414,0.001
0.416,0.002
0.418,0
0.42,0.005
0.422,0
0.424,-0.001
0.426,0.001
0.428,-0.001
0.43,-0.001
0.432,0.001
0.434,0
0.436,0
0.438,0.001
