Time(s),Voltage I/O-1(V)
0.992,-0.012
0.994,-0.015
0.996,-0.018
0.998,-0.021
1.0,-0.024
1.002,-0.024
1.004,-0.027
1.006,-0.026
1.008,-0.032
1.01,-0.032
1.012,-0.034
1.014,-0.035
1.016,-0.035
1.018,-0.035
1.02,-0.037
1.022,-0.032
1.024,-0.033
1.026,-0.032
1.028,-0.029
1.03,-0.028
1.032,-0.024
1.034,-0.022
1.036,-0.02
1.038,-0.017
1.04,-0.015
1.042,-0.01
1.044,-0.007
1.046,-0.005
1.048,-0.001
1.05,0.004
1.052,0.004
1.054,0.006
1.056,0.006
1.058,0.006
1.06,0.009
1.062,0.01
1.064,0.011
1.066,0.011
1.068,0.011
1.07,0.012
1.072,0.012
1.074,0.015
1.076,0.013
1.078,0.011
1.08,0.013
1.082,0.011
1.084,0.007
1.086,0.007
1.088,0.002
1.09,0.006
1.092,0.006
1.094,0.005
1.096,0.002
1.098,-0.001
1.1,-0.001
1.102,0.0
1.104,-0.001
1.106,0.001
1.108,0.001
1.11,0.002
1.112,0.002
1.114,0.002
1.116,0.0
1.118,0.0
1.12,0.0
1.122,0.001
1.124,0.001
1.126,0.001
1.128,0.001
1.13,0.0
1.132,0.0
1.134,0.002
1.136,-0.001
1.138,0.0
1.14,0.0
1.142,0.001
1.144,0.0
1.146,0.0
1.148,0.0
1.15,0.001
1.152,0.0
1.154,0.001
1.156,0.001
1.158,0.0
1.16,0.001
1.162,0.0
1.164,0.002
1.166,-0.001
1.168,-0.002
1.17,0.0
1.172,0.0
1.174,0.001
1.176,0.002
1.178,0.001
1.18,0.001
1.182,0.001
1.184,0.0
1.186,0.001
1.188,-0.001
1.19,0.0
1.192,0.0
1.194,0.0
1.196,0.0
1.198,0.0
1.2,0.0
1.202,0.001
1.204,0.0
1.206,0.001
1.208,0.0
1.21,0.0
1.212,0.0
1.214,0.0
1.216,0.0
1.218,0.002
1.22,0.001
1.222,0.001
1.224,0.0
1.226,0.0
1.228,0.001
1.23,0.0
1.232,0.001
1.234,0.001
1.236,0.0
1.238,0.0
1.24,0.002
1.242,0.002
1.244,0.002
1.246,0.001
1.248,0.001
1.25,0.001
1.252,0.0
1.254,0.0
1.256,-0.001
1.258,0.0
1.26,0.0
1.262,0.001
1.264,0.004
1.266,0.001
1.268,0.001
1.27,0.0
1.272,0.0
1.274,-0.001
1.276,0.0
1.278,-0.001
1.28,0.001
1.282,0.0
1.284,0.001
1.286,0.0
1.288,0.0
1.29,0.0
