Time(s),Voltage I/O-1(V)
0.662,0.002
0.664,-0.001
0.666,0.0
0.668,0.001
0.67,0.002
0.672,0.0
0.674,0.0
0.676,-0.001
0.678,0.001
0.68,-0.001
0.682,0.0
0.684,0.002
0.686,-0.002
0.688,0.001
0.69,0.0
0.692,-0.001
0.694,0.002
0.696,0.0
0.698,0.0
0.7,0.002
0.702,0.0
0.704,0.0
0.706,0.0
0.708,0.001
0.71,0.002
0.712,0.0
0.714,0.001
0.716,0.001
0.718,0.0
0.72,0.002
0.722,0.0
0.724,0.001
0.726,0.001
0.728,0.0
0.73,-0.001
0.732,0.0
0.734,0.0
0.736,0.0
0.738,0.0
0.74,0.001
0.742,0.001
0.744,0.001
0.746,0.0
0.748,-0.001
0.75,0.0
0.752,0.0
0.754,-0.001
0.756,0.001
0.758,0.002
0.76,0.002
0.762,0.001
0.764,0.0
0.766,0.0
0.768,0.001
0.77,0.0
0.772,0.001
0.774,0.0
0.776,0.0
0.778,0.001
0.78,0.0
0.782,0.001
0.784,0.004
0.786,0.001
0.788,0.002
0.79,0.0
0.792,0.0
0.794,0.0
0.796,0.0
0.798,0.0
0.8,0.0
0.802,0.0
0.804,0.002
0.806,0.0
0.808,0.0
0.81,0.001
0.812,0.0
0.814,0.0
0.816,0.0
0.818,-0.001
0.82,0.001
0.822,-0.001
0.824,0.001
0.826,0.004
0.828,0.004
0.83,0.001
0.832,0.001
0.834,0.0
0.836,0.001
0.838,-0.001
0.84,-0.001
0.842,0.0
0.844,0.0
0.846,0.001
0.848,0.002
0.85,0.0
0.852,0.001
0.854,-0.001
0.856,-0.001
0.858,-0.001
0.86,-0.001
0.862,-0.002
0.864,-0.001
0.866,0.0
0.868,0.0
0.87,-0.001
0.872,-0.001
0.874,-0.002
0.876,-0.002
0.878,-0.001
0.88,-0.002
0.882,-0.002
0.884,-0.001
0.886,-0.002
0.888,0.001
0.89,-0.002
0.892,-0.004
0.894,-0.002
0.896,-0.004
0.898,-0.004
0.9,-0.004
0.902,-0.005
0.904,-0.005
0.906,-0.005
0.908,-0.002
0.91,-0.004
0.912,-0.005
0.914,-0.005
0.916,-0.005
0.918,-0.006
0.92,-0.006
0.922,-0.007
0.924,-0.005
0.926,-0.007
0.928,-0.009
0.93,-0.007
0.932,-0.007
0.934,-0.01
0.936,-0.007
0.938,-0.01
0.94,-0.01
0.942,-0.011
0.944,-0.011
0.946,-0.013
0.948,-0.013
0.95,-0.015
