Time(s),Voltage I/O-1(V)
0.184,0.001
0.186,0.0
0.188,0.001
0.19,0.0
0.192,0.0
0.194,-0.002
0.196,0.0
0.198,0.0
0.2,0.0
0.202,0.001
0.204,0.001
0.206,0.001
0.208,0.0
0.21,0.0
0.212,0.001
0.214,0.0
0.216,0.0
0.218,0.002
0.22,-0.001
0.222,0.001
0.224,0.002
0.226,0.001
0.228,0.002
0.23,0.0
0.232,0.0
0.234,0.0
0.236,-0.001
0.238,0.0
0.24,0.0
0.242,0.0
0.244,0.001
0.246,0.001
0.248,0.001
0.25,0.001
0.252,-0.001
0.254,-0.001
0.256,0.0
0.258,0.0
0.26,0.001
0.262,0.0
0.264,0.0
0.266,-0.001
0.268,-0.002
0.27,0.001
0.272,0.0
0.274,0.0
0.276,0.0
0.278,-0.004
0.28,0.0
0.282,-0.001
0.284,-0.002
0.286,0.0
0.288,-0.001
0.29,0.001
0.292,0.0
0.294,-0.001
0.296,0.0
0.298,-0.002
0.3,-0.001
0.302,0.0
0.304,-0.002
0.306,-0.002
0.308,-0.001
0.31,0.0
0.312,-0.001
0.314,-0.004
0.316,-0.002
0.318,-0.001
0.32,-0.002
0.322,-0.001
0.324,-0.002
0.326,-0.004
0.328,-0.002
0.33,-0.002
0.332,-0.002
0.334,-0.002
0.336,-0.004
0.338,-0.002
0.34,-0.004
0.342,-0.004
0.344,-0.005
0.346,-0.004
0.348,-0.005
0.35,-0.005
0.352,-0.005
0.354,-0.002
0.356,-0.006
0.358,-0.006
0.36,-0.005
0.362,-0.007
0.364,-0.007
0.366,-0.007
0.368,-0.009
0.37,-0.007
0.372,-0.007
0.374,-0.009
0.376,-0.009
0.378,-0.011
0.38,-0.012
0.382,-0.013
0.384,-0.015
0.386,-0.015
0.388,-0.016
0.39,-0.017
0.392,-0.018
0.394,-0.02
0.396,-0.021
0.398,-0.022
0.4,-0.026
0.402,-0.027
0.404,-0.032
0.406,-0.034
0.408,-0.038
0.41,-0.042
0.412,-0.044
0.414,-0.049
0.416,-0.054
0.418,-0.061
0.42,-0.07
0.422,-0.076
0.424,-0.087
0.426,-0.098
0.428,-0.11
0.43,-0.123
0.432,-0.14
0.434,-0.159
0.436,-0.182
0.438,-0.205
0.44,-0.233
