B_r (mT),stdev B_r,ΔB_r (mT),B_e (mT),ΔB_e (mT),B_r_norm (mT),r (cm),Δr (cm)
0.068796,0.000249865,0.00007212981251,0.030844,0.0001048419608,0.037952,10,0.02886751346
0.0402,0.000216654,0.00006254262261,0.030844,0.0001048419608,0.009356,20,0.02886751346
0.03492,0.000317516,0.00009165897404,0.030844,0.0001048419608,0.004076,30,0.02886751346
0.032388,0.000270781,0.00007816774162,0.030844,0.0001048419608,0.001544,40,0.02886751346
0.03127,0.000248465,0.00007172566732,0.030844,0.0001048419608,0.000426,50,0.02886751346
0.030710204,0.000217222,0.00006270659009,0.030844,0.0001048419608,-0.000133796,60,0.02886751346
0.031018367,0.000225161,0.00006499838198,0.030844,0.0001048419608,0.000174367,70,0.02886751346
0.030222449,0.000275579,0.00007955280492,0.030844,0.0001048419608,-0.000621551,80,0.02886751346
0.029777551,0.000276334,0.00007977075464,0.030844,0.0001048419608,-0.001066449,90,0.02886751346
