Time(s),Voltage I/O-1(V)
0.0,-0.002
0.002,-0.001
0.004,-0.002
0.006,-0.002
0.008,-0.001
0.01,-0.0
0.012,-0.001
0.014,-0.002
0.016,-0.002
0.018,-0.002
0.02,-0.002
0.022,-0.002
0.024,-0.002
0.026,-0.004
0.028,-0.001
0.03,-0.002
0.032,-0.004
0.034,-0.002
0.036,-0.005
0.038,-0.002
0.04,-0.001
0.042,-0.002
0.044,-0.002
0.046,-0.002
0.048,-0.002
0.05,-0.001
0.052,-0.005
0.054,-0.004
0.056,-0.004
0.058,-0.005
0.06,-0.002
0.062,-0.002
0.064,-0.005
0.066,-0.004
0.068,-0.006
0.07,-0.004
0.072,-0.006
0.074,-0.006
0.076,-0.006
0.078,-0.006
0.08,-0.006
0.082,-0.007
0.084,-0.007
0.086,-0.006
0.088,-0.009
0.09,-0.009
0.092,-0.007
0.094,-0.011
0.096,-0.009
0.098,-0.011
0.1,-0.013
0.102,-0.012
0.104,-0.013
0.106,-0.013
0.108,-0.015
0.11,-0.015
0.112,-0.017
0.114,-0.018
0.116,-0.017
0.118,-0.02
0.12,-0.023
0.122,-0.024
0.124,-0.026
0.126,-0.031
0.128,-0.029
0.13,-0.034
0.132,-0.037
0.134,-0.039
0.136,-0.043
0.138,-0.048
0.14,-0.051
0.142,-0.059
0.144,-0.063
0.146,-0.072
0.148,-0.078
0.15,-0.088
0.152,-0.098
0.154,-0.109
0.156,-0.121
0.158,-0.134
0.16,-0.149
0.162,-0.166
0.164,-0.184
0.166,-0.205
0.168,-0.228
0.17,-0.251
0.172,-0.273
0.174,-0.298
0.176,-0.32
0.178,-0.339
0.18,-0.356
0.182,-0.367
0.184,-0.371
0.186,-0.364
0.188,-0.347
0.19,-0.325
0.192,-0.29
0.194,-0.251
0.196,-0.204
0.198,-0.153
0.2,-0.096
0.202,-0.035
0.204,0.029
0.206,0.098
0.208,0.172
0.21,0.247
0.212,0.325
0.214,0.405
0.216,0.489
0.218,0.574
0.22,0.657
0.222,0.734
0.224,0.802
0.226,0.852
0.228,0.889
0.23,0.901
0.232,0.889
0.234,0.854
0.236,0.798
0.238,0.725
0.24,0.635
0.242,0.537
0.244,0.433
0.246,0.328
0.248,0.222
0.25,0.115
0.252,0.007
0.254,-0.1
0.256,-0.211
0.258,-0.327
0.26,-0.444
0.262,-0.564
0.264,-0.685
0.266,-0.797
