Time(s),Voltage I/O-1(V)
0.728,-0.0
0.73,-0.0
0.732,0.001
0.734,-0.001
0.736,-0.0
0.738,0.001
0.74,-0.001
0.742,-0.0
0.744,-0.001
0.746,-0.0
0.748,0.001
0.75,-0.0
0.752,0.001
0.754,-0.0
0.756,-0.0
0.758,0.001
0.76,-0.001
0.762,-0.001
0.764,-0.0
0.766,-0.004
0.768,-0.002
0.77,-0.002
0.772,-0.002
0.774,-0.002
0.776,-0.001
0.778,-0.0
0.78,-0.002
0.782,-0.001
0.784,-0.001
0.786,-0.002
0.788,-0.0
0.79,-0.0
0.792,-0.001
0.794,-0.0
0.796,0.001
0.798,-0.0
0.8,-0.001
0.802,-0.0
0.804,-0.0
0.806,-0.0
0.808,-0.0
0.81,0.001
0.812,-0.0
0.814,-0.0
0.816,-0.0
0.818,-0.0
0.82,-0.001
0.822,-0.0
0.824,-0.001
0.826,-0.0
0.828,-0.0
0.83,-0.001
0.832,-0.0
0.834,-0.002
0.836,-0.001
0.838,-0.0
0.84,-0.001
0.842,-0.001
0.844,-0.001
0.846,-0.002
0.848,-0.001
0.85,-0.002
0.852,-0.001
0.854,-0.0
0.856,-0.001
0.858,0.001
0.86,-0.001
0.862,-0.001
0.864,-0.0
0.866,-0.0
0.868,-0.0
0.87,0.001
0.872,-0.0
0.874,-0.0
0.876,-0.0
0.878,-0.0
0.88,-0.0
0.882,-0.0
0.884,0.001
0.886,-0.0
0.888,-0.0
0.89,-0.0
0.892,-0.001
0.894,-0.002
0.896,0.001
0.898,-0.002
0.9,-0.0
0.902,-0.002
0.904,-0.0
0.906,-0.0
0.908,-0.002
0.91,-0.001
0.912,-0.001
0.914,-0.004
0.916,-0.0
0.918,-0.002
0.92,-0.001
0.922,-0.0
0.924,-0.001
0.926,-0.001
0.928,-0.001
0.93,-0.001
0.932,-0.0
0.934,-0.0
0.936,-0.0
0.938,-0.001
0.94,-0.0
0.942,-0.0
0.944,-0.0
0.946,-0.0
0.948,0.001
0.95,-0.0
0.952,-0.0
0.954,-0.0
0.956,-0.0
0.958,-0.001
0.96,-0.001
0.962,-0.001
0.964,-0.0
0.966,-0.0
0.968,-0.0
0.97,-0.001
0.972,-0.002
0.974,-0.002
0.976,-0.001
0.978,-0.0
0.98,-0.001
0.982,-0.002
0.984,-0.0
0.986,-0.002
0.988,-0.002
0.99,-0.001
0.992,-0.001
0.994,-0.0
0.996,0.002
0.998,-0.0
1.0,-0.001
1.002,-0.0
1.004,-0.001
1.006,0.001
1.008,-0.001
1.01,0.001
1.012,-0.0
1.014,-0.001
1.016,0.002
1.018,-0.0
1.02,-0.001
1.022,-0.0
1.024,-0.0
1.026,-0.0
1.028,-0.0
1.03,-0.001
1.032,-0.001
1.034,-0.001
1.036,-0.0
1.038,-0.002
1.04,-0.002
1.042,-0.001
1.044,-0.001
1.046,-0.002
1.048,-0.0
1.05,-0.001
1.052,-0.002
1.054,-0.001
1.056,-0.001
1.058,-0.002
1.06,-0.001
1.062,-0.001
1.064,-0.0
1.066,-0.0
1.068,-0.0
1.07,-0.0
1.072,-0.002
1.074,0.002
1.076,0.001
1.078,-0.0
1.08,-0.0
1.082,-0.0
1.084,-0.0
1.086,-0.0
1.088,-0.0
1.09,0.001
1.092,-0.001
1.094,-0.0
1.096,-0.0
1.098,-0.004
1.1,-0.001
1.102,-0.001
1.104,-0.002
1.106,-0.0
1.108,-0.002
1.11,-0.001
1.112,-0.001
1.114,-0.002
1.116,-0.001
1.118,-0.0
1.12,-0.002
1.122,-0.001
1.124,-0.001
1.126,-0.0
1.128,-0.0
1.13,-0.001
1.132,-0.0
1.134,-0.001
1.136,-0.002
1.138,0.001
1.14,-0.0
1.142,-0.0
1.144,0.001
1.146,-0.0
1.148,0.001
1.15,-0.0
1.152,-0.0
1.154,-0.0
1.156,-0.001
1.158,-0.0
1.16,-0.001
1.162,-0.001
1.164,-0.0
1.166,-0.001
1.168,-0.001
1.17,-0.0
1.172,-0.002
1.174,-0.0
1.176,-0.001
1.178,-0.002
1.18,-0.002
1.182,-0.0
1.184,-0.001
1.186,-0.0
1.188,-0.001
1.19,-0.0
1.192,-0.002
1.194,-0.001
1.196,-0.0
1.198,-0.001
1.2,-0.0
1.202,-0.0
1.204,-0.0
1.206,-0.0
1.208,-0.0
1.21,-0.0
1.212,-0.0
1.214,-0.0
1.216,-0.001
1.218,-0.0
1.22,-0.002
1.222,-0.0
1.224,-0.001
1.226,-0.0
1.228,-0.0
1.23,-0.001
1.232,-0.0
1.234,-0.0
1.236,-0.002
1.238,-0.002
1.24,-0.002
1.242,-0.0
1.244,-0.001
1.246,-0.002
1.248,-0.0
1.25,-0.0
1.252,-0.001
1.254,0.002
1.256,-0.001
1.258,-0.001
1.26,-0.001
1.262,-0.0
1.264,-0.0
1.266,-0.0
1.268,-0.0
1.27,-0.0
1.272,-0.001
1.274,0.001
1.276,-0.0
1.278,-0.001
1.28,-0.0
1.282,-0.0
1.284,-0.001
1.286,-0.0
1.288,-0.0
1.29,-0.0
1.292,-0.001
1.294,-0.0
1.296,0.001
1.298,-0.002
1.3,-0.001
1.302,-0.001
1.304,-0.001
1.306,-0.0
1.308,-0.001
1.31,-0.002
1.312,0.001
1.314,0.001
1.316,-0.001
1.318,-0.001
1.32,-0.002
1.322,-0.002
1.324,-0.0
1.326,-0.001
1.328,-0.0
1.33,-0.001
1.332,-0.0
1.334,-0.0
1.336,-0.002
1.338,-0.0
1.34,-0.001
1.342,-0.001
1.344,-0.0
1.346,-0.001
1.348,-0.0
1.35,-0.0
1.352,-0.0
1.354,0.001
1.356,-0.001
1.358,-0.0
1.36,-0.001
1.362,-0.001
1.364,-0.0
1.366,-0.002
1.368,-0.001
1.37,-0.0
1.372,-0.002
1.374,0.001
1.376,-0.001
1.378,-0.001
1.38,-0.001
1.382,-0.001
1.384,-0.004
1.386,-0.0
1.388,-0.001
1.39,-0.0
1.392,-0.0
1.394,-0.0
1.396,-0.0
1.398,-0.002
1.4,-0.001
1.402,-0.0
1.404,-0.002
1.406,-0.001
1.408,-0.0
1.41,-0.0
1.412,0.001
1.414,-0.0
1.416,-0.0
1.418,-0.0
1.42,-0.001
1.422,-0.0
1.424,-0.001
1.426,-0.0
1.428,0.001
1.43,-0.0
1.432,-0.001
1.434,-0.001
1.436,-0.002
1.438,-0.0
1.44,-0.0
1.442,-0.0
1.444,-0.0
1.446,-0.001
1.448,-0.001
1.45,-0.002
1.452,-0.0
1.454,-0.001
1.456,-0.002
1.458,-0.001
1.46,-0.0
1.462,-0.001
1.464,-0.001
1.466,-0.001
1.468,-0.001
1.47,-0.001
1.472,-0.0
1.474,-0.0
1.476,-0.001
1.478,-0.002
1.48,-0.001
1.482,-0.001
1.484,-0.0
1.486,-0.0
1.488,-0.0
1.49,0.001
1.492,0.001
1.494,-0.001
1.496,-0.001
1.498,-0.001
1.5,-0.0
1.502,-0.0
1.504,-0.0
1.506,-0.0
1.508,-0.002
1.51,-0.002
1.512,-0.0
1.514,-0.002
1.516,-0.001
1.518,-0.0
1.52,-0.0
1.522,-0.0
1.524,-0.001
1.526,-0.0
1.528,-0.001
1.53,-0.001
1.532,-0.0
1.534,-0.001
1.536,-0.002
1.538,-0.001
1.54,-0.001
1.542,-0.0
1.544,-0.001
1.546,-0.0
1.548,-0.0
1.55,0.001
1.552,-0.0
1.554,0.001
1.556,-0.001
1.558,-0.001
1.56,-0.0
1.562,-0.0
1.564,-0.0
1.566,-0.001
1.568,-0.002
1.57,-0.0
1.572,-0.0
1.574,-0.001
1.576,-0.001
1.578,-0.001
1.58,-0.0
1.582,-0.001
1.584,-0.0
1.586,-0.0
1.588,-0.002
1.59,-0.001
1.592,-0.0
1.594,-0.002
1.596,-0.001
1.598,-0.001
1.6,-0.001
1.602,-0.0
1.604,-0.001
1.606,-0.001
1.608,-0.001
1.61,-0.0
1.612,-0.0
1.614,-0.001
1.616,-0.0
1.618,-0.0
1.62,-0.001
1.622,-0.0
1.624,-0.0
1.626,-0.0
1.628,-0.0
1.63,-0.0
1.632,-0.0
1.634,-0.001
1.636,-0.001
1.638,-0.001
1.64,-0.002
1.642,-0.0
1.644,-0.0
1.646,-0.001
1.648,-0.001
1.65,-0.002
1.652,-0.001
1.654,-0.001
1.656,-0.001
1.658,-0.002
1.66,-0.0
1.662,-0.001
1.664,-0.0
1.666,-0.0
1.668,-0.001
1.67,-0.001
1.672,-0.0
1.674,-0.0
1.676,-0.0
1.678,-0.001
1.68,0.001
1.682,-0.0
1.684,-0.0
1.686,-0.0
1.688,-0.0
1.69,-0.001
1.692,-0.001
1.694,-0.001
1.696,-0.0
1.698,-0.002
1.7,-0.001
1.702,-0.0
1.704,-0.001
1.706,-0.0
1.708,0.001
1.71,-0.0
1.712,-0.0
1.714,-0.0
1.716,-0.002
1.718,-0.001
1.72,-0.001
1.722,-0.0
1.724,-0.001
