Time(s),Voltage I/O-1(V)
0.0,-0.0
0.002,-0.001
0.004,-0.0
0.006,-0.0
0.008,-0.0
0.01,-0.001
0.012,-0.002
0.014,-0.0
0.016,-0.0
0.018,-0.0
0.02,-0.0
0.022,-0.001
0.024,-0.0
0.026,-0.0
0.028,-0.002
0.03,-0.0
0.032,-0.0
0.034,-0.0
0.036,-0.0
0.038,-0.001
0.04,-0.001
0.042,-0.001
0.044,-0.004
0.046,-0.0
0.048,-0.001
0.05,-0.0
0.052,-0.0
0.054,-0.0
0.056,-0.001
0.058,-0.0
0.06,-0.002
0.062,-0.0
0.064,-0.001
0.066,-0.001
0.068,-0.0
0.07,-0.002
0.072,-0.0
0.074,-0.001
0.076,-0.001
0.078,-0.0
0.08,-0.0
0.082,-0.0
0.084,-0.001
0.086,-0.0
0.088,-0.001
0.09,-0.002
0.092,-0.002
0.094,0.001
0.096,-0.0
0.098,-0.0
0.1,0.001
0.102,-0.001
0.104,-0.002
0.106,-0.001
0.108,-0.001
0.11,-0.001
0.112,-0.002
0.114,-0.0
0.116,-0.0
0.118,-0.001
0.12,-0.0
0.122,-0.004
0.124,-0.001
0.126,-0.0
0.128,-0.0
0.13,-0.001
0.132,-0.001
0.134,-0.001
0.136,-0.0
0.138,-0.001
0.14,-0.001
0.142,-0.0
0.144,-0.001
0.146,-0.0
0.148,-0.0
0.15,-0.002
0.152,-0.001
0.154,-0.001
0.156,-0.0
0.158,-0.0
0.16,-0.0
0.162,-0.0
0.164,-0.0
0.166,-0.0
0.168,-0.001
0.17,-0.001
0.172,-0.001
0.174,-0.001
0.176,-0.001
0.178,-0.0
0.18,-0.001
0.182,-0.002
0.184,-0.0
0.186,-0.0
0.188,-0.002
0.19,-0.001
0.192,-0.001
0.194,-0.001
0.196,-0.002
0.198,-0.0
0.2,-0.001
0.202,-0.001
0.204,-0.0
0.206,-0.0
0.208,-0.001
0.21,-0.0
0.212,-0.002
0.214,-0.002
0.216,-0.0
0.218,-0.001
0.22,-0.0
0.222,-0.001
0.224,-0.0
0.226,0.001
0.228,-0.0
0.23,-0.0
0.232,-0.0
0.234,-0.001
0.236,-0.0
0.238,-0.0
0.24,-0.0
0.242,-0.0
0.244,-0.002
0.246,-0.0
0.248,-0.004
0.25,-0.001
0.252,-0.001
0.254,-0.001
0.256,-0.0
0.258,-0.002
0.26,-0.001
0.262,-0.001
0.264,-0.001
0.266,-0.001
0.268,-0.001
0.27,-0.001
0.272,-0.0
0.274,-0.0
0.276,-0.001
0.278,-0.001
0.28,-0.001
0.282,-0.001
0.284,-0.0
0.286,-0.0
0.288,-0.0
0.29,-0.001
0.292,-0.001
0.294,0.001
0.296,-0.001
0.298,-0.001
0.3,-0.001
0.302,-0.001
0.304,0.001
0.306,-0.0
0.308,-0.002
0.31,-0.001
0.312,-0.001
0.314,-0.0
0.316,-0.0
0.318,-0.001
0.32,-0.001
0.322,-0.001
0.324,-0.0
0.326,-0.0
0.328,-0.001
0.33,-0.0
0.332,-0.0
0.334,-0.0
0.336,-0.0
0.338,-0.0
0.34,-0.001
0.342,-0.001
0.344,-0.001
0.346,-0.001
0.348,-0.0
0.35,-0.0
0.352,-0.0
0.354,-0.001
0.356,-0.001
0.358,-0.0
0.36,-0.001
0.362,-0.001
0.364,-0.001
0.366,-0.001
0.368,-0.001
0.37,-0.001
0.372,-0.0
0.374,-0.0
0.376,-0.001
0.378,-0.0
0.38,-0.0
0.382,-0.0
0.384,0.001
0.386,-0.001
0.388,-0.001
0.39,-0.001
0.392,-0.0
0.394,-0.0
0.396,-0.001
0.398,-0.001
0.4,-0.0
0.402,-0.001
0.404,-0.0
0.406,-0.001
0.408,-0.002
0.41,-0.001
0.412,-0.0
0.414,-0.0
0.416,-0.0
0.418,-0.0
0.42,-0.0
0.422,-0.002
0.424,-0.0
0.426,0.001
0.428,-0.002
0.43,-0.001
0.432,-0.0
0.434,-0.001
0.436,-0.0
0.438,-0.0
0.44,-0.001
0.442,-0.0
0.444,-0.0
0.446,-0.0
0.448,-0.001
0.45,-0.002
0.452,-0.001
0.454,-0.001
0.456,-0.001
0.458,-0.0
0.46,-0.001
0.462,-0.0
0.464,-0.0
0.466,-0.002
0.468,-0.001
0.47,-0.001
0.472,-0.001
0.474,-0.001
0.476,-0.001
0.478,-0.0
0.48,-0.001
0.482,-0.001
0.484,0.001
0.486,-0.004
0.488,-0.001
0.49,-0.0
0.492,-0.001
0.494,0.001
0.496,-0.001
0.498,-0.001
0.5,-0.001
0.502,-0.0
0.504,-0.0
0.506,-0.002
0.508,-0.001
0.51,-0.001
0.512,-0.002
0.514,-0.001
0.516,0.001
0.518,-0.001
0.52,-0.001
0.522,-0.001
0.524,-0.0
0.526,-0.0
0.528,-0.001
0.53,-0.002
0.532,-0.001
0.534,-0.002
0.536,-0.0
0.538,-0.001
0.54,-0.002
0.542,-0.001
0.544,-0.001
0.546,-0.0
0.548,-0.001
0.55,-0.002
0.552,-0.002
0.554,-0.001
0.556,-0.002
0.558,-0.0
0.56,-0.001
0.562,-0.002
0.564,-0.001
0.566,-0.004
0.568,-0.001
0.57,-0.002
0.572,-0.002
0.574,-0.002
0.576,-0.002
0.578,-0.001
0.58,-0.002
0.582,-0.002
0.584,-0.001
0.586,-0.004
0.588,-0.002
0.59,-0.001
0.592,-0.002
0.594,-0.002
0.596,-0.002
0.598,-0.004
0.6,-0.005
0.602,-0.002
0.604,-0.004
0.606,-0.004
0.608,-0.005
0.61,-0.002
0.612,-0.006
0.614,-0.005
0.616,-0.005
0.618,-0.006
0.62,-0.006
0.622,-0.004
0.624,-0.006
0.626,-0.005
0.628,-0.007
0.63,-0.007
0.632,-0.007
0.634,-0.007
0.636,-0.009
0.638,-0.01
0.64,-0.011
0.642,-0.01
0.644,-0.013
0.646,-0.013
0.648,-0.015
0.65,-0.015
0.652,-0.013
0.654,-0.017
0.656,-0.02
0.658,-0.021
0.66,-0.024
0.662,-0.026
0.664,-0.028
0.666,-0.032
0.668,-0.034
0.67,-0.038
0.672,-0.044
0.674,-0.048
0.676,-0.054
0.678,-0.059
0.68,-0.066
0.682,-0.074
0.684,-0.083
0.686,-0.098
0.688,-0.111
0.69,-0.125
0.692,-0.142
0.694,-0.16
0.696,-0.183
0.698,-0.209
0.7,-0.237
0.702,-0.269
0.704,-0.304
0.706,-0.339
0.708,-0.376
0.71,-0.404
0.712,-0.428
0.714,-0.442
0.716,-0.439
0.718,-0.425
0.72,-0.395
0.722,-0.349
0.724,-0.295
0.726,-0.232
0.728,-0.16
0.73,-0.079
0.732,0.005
0.734,0.093
0.736,0.189
0.738,0.288
0.74,0.393
0.742,0.503
0.744,0.612
0.746,0.721
0.748,0.826
0.75,0.919
0.752,0.99
0.754,1.031
0.756,1.039
0.758,1.008
0.76,0.944
0.762,0.85
0.764,0.729
0.766,0.594
0.768,0.455
0.77,0.31
0.772,0.166
0.774,0.022
0.776,-0.123
0.778,-0.273
0.78,-0.427
0.782,-0.587
0.784,-0.745
0.786,-0.893
0.788,-1.024
0.79,-1.121
0.792,-1.168
0.794,-1.162
0.796,-1.101
0.798,-0.991
0.8,-0.846
0.802,-0.682
0.804,-0.51
0.806,-0.331
0.808,-0.156
0.81,0.02
0.812,0.193
0.814,0.37
0.816,0.547
0.818,0.724
0.82,0.896
0.822,1.05
0.824,1.169
0.826,1.245
0.828,1.266
0.83,1.232
0.832,1.141
0.834,0.996
0.836,0.815
0.838,0.614
0.84,0.406
0.842,0.198
0.844,-0.012
0.846,-0.225
0.848,-0.444
0.85,-0.677
0.852,-0.922
0.854,-1.168
0.856,-1.385
0.858,-1.533
0.86,-1.573
0.862,-1.489
0.864,-1.307
0.866,-1.075
0.868,-0.832
0.87,-0.603
0.872,-0.391
0.874,-0.19
0.876,-0.001
0.878,0.184
0.88,0.381
0.882,0.586
0.884,0.782
0.886,0.881
0.888,-0.366
0.89,-0.308
0.892,-0.188
0.894,-0.289
0.896,-0.111
0.898,-0.2
0.9,-0.072
0.902,-0.051
0.904,-0.079
0.906,-0.044
0.908,-0.037
0.91,-0.037
0.912,-0.043
0.914,-0.02
0.916,-0.011
0.918,-0.018
0.92,-0.017
0.922,-0.01
0.924,-0.005
0.926,-0.006
0.928,0.007
0.93,0.012
0.932,0.009
0.934,0.012
0.936,0.02
0.938,0.023
0.94,0.029
0.942,0.037
0.944,0.039
0.946,0.042
0.948,0.049
0.95,0.051
0.952,0.048
0.954,0.045
0.956,0.044
0.958,0.048
0.96,0.054
0.962,0.056
0.964,0.057
0.966,0.055
0.968,0.061
0.97,0.063
0.972,0.068
0.974,0.076
0.976,0.079
0.978,0.084
0.98,0.09
