Time(s),Voltage I/O-1(V)
1.254,-0.0
1.256,0.0122
1.258,-0.0085
1.26,-0.011
1.262,0.0049
1.264,0.0122
1.266,0.0012
1.268,0.0098
1.27,0.0208
1.272,0.022
1.274,0.0244
1.276,0.0342
1.278,0.0354
1.28,0.0366
1.282,0.0366
1.284,0.0244
1.286,0.0317
1.288,0.033
1.29,0.0427
1.292,0.0464
1.294,0.0476
1.296,0.05
1.298,0.0488
1.3,0.0488
1.302,0.0513
1.304,0.0574
1.306,0.0586
1.308,0.0574
1.31,0.0623
1.312,0.0647
1.314,0.0684
1.3159999999999998,0.0732
1.318,0.0757
1.3199999999999998,0.0793
1.322,0.0867
1.3239999999999998,0.0891
1.326,0.0806
1.3279999999999998,-0.0122
1.33,-0.0183
1.3319999999999999,-0.0195
1.334,-0.0159
1.3359999999999999,-0.011
1.338,-0.0049
1.3399999999999999,-0.0
1.342,0.0037
1.3439999999999999,0.0061
1.346,0.0085
1.3479999999999999,0.011
1.35,0.011
1.3519999999999999,0.0134
1.354,0.0073
1.3559999999999999,0.0012
1.358,-0.0024
1.3599999999999999,-0.0012
1.362,-0.0
1.3639999999999999,0.0024
1.366,0.0024
1.3679999999999999,0.0024
1.37,0.0012
1.3719999999999999,-0.0
1.374,-0.0
1.376,-0.0
1.3780000000000001,0.0012
1.38,0.0012
1.3820000000000001,-0.0
1.384,0.0012
1.3860000000000001,-0.0012
1.388,-0.0037
1.3900000000000001,-0.0
1.392,-0.0
1.3940000000000001,-0.0
1.396,-0.0
1.3980000000000001,-0.0
1.4,-0.0024
1.4020000000000001,-0.0037
1.404,-0.0012
1.4060000000000001,-0.0012
1.408,-0.0024
1.4100000000000001,-0.0024
1.412,-0.0
1.4140000000000001,-0.0024
1.416,-0.0
1.4180000000000001,-0.0012
1.42,-0.0012
1.4220000000000002,-0.0012
1.424,-0.0
1.4260000000000002,-0.0024
1.428,-0.0
1.4300000000000002,-0.0012
1.432,-0.0
1.4340000000000002,0.0012
1.436,-0.0012
1.438,-0.0
1.44,-0.0
1.442,-0.0012
1.444,0.0012
1.446,-0.0012
1.448,-0.0012
1.45,-0.0012
1.452,-0.0
1.454,-0.0012
1.456,-0.0012
1.458,-0.0
1.46,-0.0
1.462,-0.0012
1.464,0.0012
1.466,-0.0012
1.468,-0.0024
1.47,-0.0024
1.472,-0.0012
1.474,-0.0012
1.476,-0.0012
1.478,-0.0012
