Time(s),Voltage I/O-1(V)
0.184,-0.0
0.186,-0.002
0.188,-0.0
0.19,-0.001
0.192,-0.001
0.194,-0.001
0.196,-0.0
0.198,0.001
0.2,-0.001
0.20199999999999999,-0.001
0.204,-0.001
0.206,-0.002
0.208,-0.001
0.21,-0.001
0.212,-0.002
0.214,-0.0
0.216,-0.0
0.218,-0.001
0.22,-0.0
0.222,-0.0
0.224,-0.001
0.226,-0.001
0.22799999999999998,-0.002
0.22999999999999998,-0.002
0.23199999999999998,-0.001
0.23399999999999999,-0.0
0.236,-0.001
0.238,-0.001
0.24,-0.0
0.242,-0.001
0.244,-0.005
0.246,-0.001
0.248,-0.001
0.25,-0.001
0.252,-0.0
0.254,-0.001
0.256,-0.001
0.258,-0.001
0.26,-0.001
0.262,-0.0
0.264,-0.001
0.266,0.001
0.268,-0.0
0.27,-0.002
0.272,-0.001
0.274,-0.002
0.276,-0.002
0.278,-0.0
0.28,-0.002
0.28200000000000003,-0.001
0.28400000000000003,-0.0
0.286,-0.002
0.288,-0.001
0.29,-0.002
0.292,-0.002
0.294,-0.001
0.296,-0.001
0.298,-0.001
0.3,-0.0
0.302,-0.001
0.304,-0.0
0.306,-0.0
0.308,-0.001
0.31,-0.001
0.312,-0.004
0.314,-0.002
0.316,-0.002
0.318,-0.002
0.32,-0.001
0.322,-0.002
0.324,-0.002
0.32599999999999996,0.001
0.32799999999999996,-0.002
0.32999999999999996,-0.004
0.33199999999999996,-0.004
0.33399999999999996,-0.004
0.33599999999999997,-0.002
0.33799999999999997,-0.004
0.33999999999999997,-0.002
0.34199999999999997,-0.002
0.344,-0.002
0.346,-0.001
0.348,-0.002
0.35,-0.005
0.352,-0.005
0.354,-0.005
0.356,-0.005
0.358,-0.005
0.36,-0.005
0.362,-0.004
0.364,-0.005
0.366,-0.004
0.368,-0.005
0.37,-0.006
0.372,-0.006
0.374,-0.006
0.376,-0.007
0.378,-0.006
0.38,-0.007
0.382,-0.009
0.384,-0.009
0.386,-0.01
0.388,-0.01
0.39,-0.012
0.392,-0.012
0.394,-0.012
0.396,-0.015
0.398,-0.016
0.4,-0.017
0.402,-0.02
0.404,-0.02
0.406,-0.021
0.40800000000000003,-0.024
0.41000000000000003,-0.027
0.41200000000000003,-0.029
0.41400000000000003,-0.033
0.41600000000000004,-0.037
0.41800000000000004,-0.042
0.42,-0.046
0.422,-0.052
0.424,-0.059
0.426,-0.063
0.428,-0.077
0.43,-0.084
0.432,-0.098
0.434,-0.112
0.436,-0.128
0.438,-0.148
0.44,-0.171
0.442,-0.197
0.444,-0.227
0.446,-0.256
0.448,-0.297
0.45,-0.334
0.452,-0.372
0.454,-0.41
0.456,-0.441
0.458,-0.46
0.46,-0.467
0.462,-0.457
0.464,-0.428
0.46599999999999997,-0.382
0.46799999999999997,-0.32
0.47,-0.25
0.472,-0.168
0.474,-0.078
0.476,0.017
0.478,0.118
0.48,0.227
0.482,0.342
0.484,0.461
0.486,0.583
0.488,0.708
0.49,0.826
0.492,0.934
0.494,1.022
0.496,1.077
0.498,1.095
0.5,1.07
0.502,1.001
0.504,0.898
0.506,0.765
0.508,0.618
0.51,0.461
0.512,0.304
0.514,0.148
0.516,-0.011
0.518,-0.173
0.52,-0.338
0.522,-0.51
0.524,-0.684
0.526,-0.857
0.528,-1.018
0.53,-1.15
0.532,-1.233
0.534,-1.252
0.536,-1.201
0.538,-1.089
0.54,-0.931
0.542,-0.748
0.544,-0.557
0.546,-0.364
0.548,-0.173
0.55,0.016
0.552,0.205
0.554,0.393
0.556,0.587
0.558,0.786
0.56,0.978
0.562,1.151
0.5640000000000001,1.28
0.5660000000000001,1.349
0.5680000000000001,1.357
0.5700000000000001,1.296
0.5720000000000001,1.168
0.5740000000000001,0.978
0.5760000000000001,0.757
0.5780000000000001,0.53
0.5800000000000001,0.303
0.5820000000000001,0.084
0.5840000000000001,-0.134
0.5860000000000001,-0.365
0.5880000000000001,-0.609
0.5900000000000001,-0.878
0.592,-1.168
0.594,-1.46
0.596,-1.682
0.598,-1.765
0.6,-1.666
0.602,-1.39
0.604,-1.011
0.606,-0.746
0.608,-0.56
0.61,-0.386
0.612,-0.22
0.614,-0.06
0.616,0.09
0.618,0.234
0.62,0.382
0.622,0.531
0.624,0.664
0.626,0.738
0.628,-0.333
0.63,-0.255
0.632,-0.21
0.634,-0.212
0.636,-0.186
0.638,-0.16
0.64,-0.162
0.642,-0.11
0.644,-0.104
0.646,-0.112
0.648,-0.094
0.65,-0.059
0.652,-0.059
0.6539999999999999,-0.055
0.6559999999999999,-0.026
0.6579999999999999,-0.028
0.6599999999999999,-0.022
0.6619999999999999,-0.024
0.6639999999999999,-0.013
0.6659999999999999,-0.011
0.6679999999999999,-0.001
0.6699999999999999,0.001
0.6719999999999999,-0.0
0.6739999999999999,-0.004
0.6759999999999999,-0.0
0.6779999999999999,0.002
0.6799999999999999,0.006
